10,-0.0019566,0.0059633,0.00063662
11,0.0025439,0.02714,0.005327
12,-0.0012501,0.0098827,0.0005599
13,-0.00027618,0.0026895,0.00069235
14,0.0018823,0.014963,0.0029212
15,0.0011763,0.04131,0.003427
16,-0.00018425,0.041284,0.0011038
17,0.0003411,0.0099487,0.0009213
18,0.0032939,0.0077176,0.0024687
19,-0.00074692,0.024516,0.00028001
1,-0.0014607,0.0084083,0.00031467
20,0.00085642,0.012818,-0.00087237
21,0.001117,0.011507,0.00046455
22,-0.00061833,0.0052434,8.8874e-05
23,0.00082258,0.025371,-0.0008396
24,0.0017776,0.016885,-0.00068458
25,-0.017112,-0.0109,-0.013966
26,0.0011532,0.032942,0.0012761
27,0.00075774,0.0080185,0.0028567
28,0.0015581,0.011641,0.0040848
29,0.00042292,0.0039504,0.0014509
2,-0.0014666,0.017698,-0.0022797
30,-0.0025779,0.034386,0.012235
31,0.0024224,0.021811,0.0073524
32,0.0042106,0.027569,0.010516
33,0.0022102,0.026481,0.0013137
34,-0.0051898,0.020863,-0.0086713
35,0.0015898,0.01908,0.0024356
36,0.0044318,0.023169,0.0060563
37,0.00030108,0.029691,0.0021591
38,0.0025731,0.024439,0.0031551
39,0.0018466,0.010586,0.0048172
3,-0.0035737,0.013217,-0.0043002
40,0.00087099,-0.0003085,0.0015715
4,0.0042135,0.016602,0.012224
6,0.0023466,0.0044606,0.0026052
7,0.0021181,0.011572,0.0026912
8,0.0030653,0.022089,0.006925
